MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE?,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2014-2018 COUNCIL? (YES / NO),"IS THIS OFFICE SUBJECT TO A RECOUNT
(YES / NO)"
Addington Highlands Tp,Hogg,Henry,REEVE,769,"1,439",ELECTED,YES,NO
Addington Highlands Tp,Fritsch,Tony,LOCAL COUNCILLOR,531,"1,268",ELECTED,YES,NO
Addington Highlands Tp,Thompson,Kirby,LOCAL COUNCILLOR,378,"1,268",ELECTED,YES,NO
Addington Highlands Tp,Miles,David L.,LOCAL COUNCILLOR,450,"1,256",ELECTED,NO,NO
Addington Highlands Tp,Yanch,Helen,LOCAL COUNCILLOR,405,"1,256",ELECTED,YES,NO
Adelaide-Metcalfe Tp,SMITH,KURTIS,MAYOR,742,"1,134",ELECTED,YES,NO
Adelaide-Metcalfe Tp,HENDRIKX,MARY ANN,DEPUTY MAYOR,569,"1,129",ELECTED,YES,NO
Adelaide-Metcalfe Tp,BRODIE,MIKE,LOCAL COUNCILLOR,684,"2,914",ELECTED,NO,NO
Adelaide-Metcalfe Tp,CLARKE,SUSAN (SUE),LOCAL COUNCILLOR,702,"2,914",ELECTED,NO,NO
Adelaide-Metcalfe Tp,MACKINNON,BETTY ANN,LOCAL COUNCILLOR,557,"2,914",ELECTED,YES,NO
Adjala-Tosorontio Tp,PINTO,FLOYD,MAYOR,"2,361","4,072",ELECTED,YES,NO
Adjala-Tosorontio Tp,MEADOWS,BOB,DEPUTY MAYOR,"2,121","4,063",ELECTED,YES,NO
Adjala-Tosorontio Tp,BAYS,ANNETTE,LOCAL COUNCILLOR,489,637,ELECTED,NO,NO
Adjala-Tosorontio Tp,PITA,JONATHAN,LOCAL COUNCILLOR,355,698,ELECTED,NO,NO
Adjala-Tosorontio Tp,O'LEARY,RONALD,LOCAL COUNCILLOR,356,743,ELECTED,NO,NO
Adjala-Tosorontio Tp,HALL,DEBORAH,LOCAL COUNCILLOR,482,881,ELECTED,NO,NO
Adjala-Tosorontio Tp,ANDERSON,SCOTT,LOCAL COUNCILLOR,394,672,ELECTED,NO,NO
Admaston-Bromley Tp,Donohue,Michael,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Admaston-Bromley Tp,Dick,Robert,LOCAL COUNCILLOR,596,809,ELECTED,YES,NO
Admaston-Bromley Tp,Hall,Robert,LOCAL COUNCILLOR,586,809,ELECTED,YES,NO
Admaston-Bromley Tp,LeGris,Kevin,LOCAL COUNCILLOR,594,809,ELECTED,YES,NO
Admaston-Bromley Tp,Quilty,Michael,LOCAL COUNCILLOR,585,809,ELECTED,YES,NO
Ajax T,Collier,Shaun,MAYOR,"10,799","25,564",ELECTED,YES,NO
Ajax T,Crawford,Marilyn,REGIONAL COUNCILLOR,"6,738","8,643",ELECTED,YES,NO
Ajax T,Tyler Morin,Rob,LOCAL COUNCILLOR,"2,378","8,643",ELECTED,NO,NO
Ajax T,Lee,Sterling,REGIONAL COUNCILLOR,"2,901","7,204",ELECTED,NO,NO
Ajax T,Khan,Ashmeed,LOCAL COUNCILLOR,"1,530","7,204",ELECTED,NO,NO
Ajax T,Dies,Joanne,REGIONAL COUNCILLOR,"6,685","9,717",ELECTED,YES,NO
Ajax T,Bower,Lisa,LOCAL COUNCILLOR,"4,380","9,717",ELECTED,NO,NO
Alberton Tp,FORD,MIKE,REEVE,176,348,ELECTED,YES,YES
Alberton Tp,DEGAGNE,DANIEL,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Alberton Tp,GLOWASKY,DIANE,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Alberton Tp,JOHNSON,JENNIFER,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
