Municipality Type,Municipality,Ward,Position,Gender,First Name,Last Name,Acclaimed,Incumbent,Elected,Votes
City,Airdrie,,Mayor,M,Peter,Brown,N,Y,Y,"5,006"
City,Airdrie,,Mayor,F,Marie Madeleine,Lauer,N,N,N,"3,280"
City,Airdrie,,Mayor,M,Thomas Frederick,Burley,N,N,N,"1,974"
City,Airdrie,,Mayor,M,Bernie,Biever,N,N,N,461
City,Airdrie,,Mayor,M,Blaine Edwin,Astra,N,N,N,196
City,Airdrie,,Councillor,M,Ronald Scott,Chapman,N,Y,Y,"5,591"
City,Airdrie,,Councillor,M,Kelly,Hegg,N,Y,Y,"5,409"
City,Airdrie,,Councillor,M,Al (Alfred),Jones,N,N,Y,"5,343"
City,Airdrie,,Councillor,F,Candice,Kolson,N,Y,Y,"4,423"
City,Airdrie,,Councillor,M,Darrell,Belyk,N,Y,Y,"3,608"
City,Airdrie,,Councillor,F,Tina,Petrow,N,N,Y,"3,329"
City,Airdrie,,Councillor,F,Shelly,Bitz,N,N,N,"2,999"
City,Airdrie,,Councillor,M,Allan J.,Hunter,N,Y,N,"2,812"
City,Airdrie,,Councillor,F,Lindsey,Coyle,N,N,N,"2,276"
City,Airdrie,,Councillor,F,Nicole,Proseilo,N,N,N,"2,208"
City,Airdrie,,Councillor,F,Charlotte Denise,Blackwell,N,N,N,"2,189"
City,Airdrie,,Councillor,M,Gary Richard,Northey,N,N,N,"1,898"
City,Airdrie,,Councillor,M,Tim,Lowing,N,N,N,"1,773"
City,Airdrie,,Councillor,M,Michael,De Bokx,N,N,N,"1,736"
City,Airdrie,,Councillor,F,Rachael Sasha,Mercedes,N,N,N,"1,566"
City,Airdrie,,Councillor,F,Brenda,McIntosh-Doell,N,N,N,"1,388"
City,Airdrie,,Councillor,M,Chris,Gourlie,N,N,N,"1,164"
City,Airdrie,,Councillor,M,Trevor,Dziaduck,N,N,N,"1,047"
City,Airdrie,,Councillor,M,Serge,Desrochers,N,N,N,897
City,Airdrie,,Councillor,M,Mohamed,Benini,N,N,N,643
City,Airdrie,,Councillor,F,Daria,Skibington-Roffel,N,N,N,574
City,Airdrie,,Councillor,M,Tanveer Ahmad,Taj,N,N,N,446
City,Airdrie,,Councillor,M,Richard Douglas Absalom,Herdman,N,N,N,281
City,Brooks,,Mayor,M,Barry,Morishita,Y,Y,N,
City,Brooks,,Councillor,M,John,Petrie,N,N,Y,"1,360"
City,Brooks,,Councillor,M,Norman,Gerestein,N,Y,Y,"1,064"
City,Brooks,,Councillor,M,Jon,Nesbitt,N,N,Y,966
City,Brooks,,Councillor,M,Bill,Prentice,N,Y,Y,909
City,Brooks,,Councillor,M,Dan,Klein,N,Y,Y,862
City,Brooks,,Councillor,M,Michael Glynn,Macdonald,N,N,Y,851
City,Brooks,,Councillor,M,Brian,Curtis,N,N,N,783
City,Brooks,,Councillor,F,Cathy,Corbett-Schock,N,Y,N,726
City,Brooks,,Councillor,M,Fred D.,Rattai,N,Y,N,709
City,Brooks,,Councillor,M,Levi,Fernell,N,N,N,581
City,Brooks,,Councillor,M,Reg,Radke,N,N,N,577
City,Brooks,,Councillor,F,Asma,Khan,N,N,N,299
City,Brooks,,Councillor,M,David,Angell,N,N,N,181
City,Calgary,,Mayor,M,Naheed K.,Nenshi,N,Y,Y,"199,131"
City,Calgary,,Mayor,M,Bill,Smith,N,N,N,"169,587"
City,Calgary,,Mayor,M,Andre,Chabot,N,N,N,"11,946"
City,Calgary,,Mayor,M,Curtis Dale,Olson,N,N,N,"1,784"
City,Calgary,,Mayor,M,David,Lapp,N,N,N,"1,291"
City,Calgary,,Mayor,M,Emile,Gabriel,N,N,N,"1,257"
City,Calgary,,Mayor,M,Larry R.,Heather,N,N,N,848
City,Calgary,,Mayor,M,Stanley Gabriel,Waciak,N,N,N,696
City,Calgary,,Mayor,M,Brent Curtis,Chisholm,N,N,N,577
City,Calgary,,Mayor,M,Jason Miles,Achtymichuk,N,N,N,466
City,Calgary,1,Councillor,M,Ward,Sutherland,N,Y,Y,"14,336"
City,Calgary,1,Councillor,F,Coral Amelia Mariella,Bliss Taylor,N,N,N,"10,601"
City,Calgary,1,Councillor,M,Chris,Blatch,N,N,N,"4,248"
City,Calgary,1,Councillor,M,Cole,Christensen,N,N,N,"1,313"
City,Calgary,1,Councillor,M,Cam,Khan,N,N,N,"1,270"
City,Calgary,2,Councillor,M,Biagio (Joe),Magliocca,N,Y,Y,"11,831"
City,Calgary,2,Councillor,F,Jennifer,Wyness,N,N,N,"8,677"
City,Calgary,2,Councillor,M,Christopher Michael Italo,Maitland,N,N,N,"2,351"
City,Calgary,2,Councillor,M,George,Georgeou,N,N,N,"1,091"
City,Calgary,3,Councillor,F,Jyoti,Gondek,N,N,Y,"7,746"
City,Calgary,3,Councillor,M,Ian,McAnerin,N,N,N,"4,867"
City,Calgary,3,Councillor,M,Jun,Lin,N,N,N,"4,747"
City,Calgary,3,Councillor,F,Connie Lee,Hamilton,N,N,N,"1,096"
City,Calgary,4,Councillor,M,Sean,Chu,N,Y,Y,"16,327"
City,Calgary,4,Councillor,M,Gregory Gordon,Miller,N,N,N,"13,965"
City,Calgary,4,Councillor,M,Blair,Berdusco,N,N,N,"2,875"
City,Calgary,4,Councillor,M,Srinivas,Ganti,N,N,N,554
City,Calgary,5,Councillor,M,Harnirjodh Singh,Chahal,N,N,Y,"6,608"
City,Calgary,5,Councillor,M,Aryan,Sadat,N,N,N,"3,759"
City,Calgary,5,Councillor,M,Sarbdeep Singh (Preet),Baidwan,N,N,N,"2,332"
City,Calgary,5,Councillor,M,Balraj,Nijjar,N,N,N,"1,698"
City,Calgary,5,Councillor,M,Tudor,Dinca,N,N,N,"1,528"
City,Calgary,5,Councillor,M,Hirde Paul Singh,Jassal,N,N,N,346
City,Calgary,6,Councillor,M,(Jeff) Jeffrey Robert Michael,Davison,N,N,Y,"13,735"
City,Calgary,6,Councillor,F,Esmahan,Razavi,N,N,N,"6,605"
City,Calgary,6,Councillor,M,Sean Edward,Yost,N,N,N,"2,507"
City,Calgary,6,Councillor,M,Jeffrey Michael,Brownridge,N,N,N,"2,427"
City,Calgary,6,Councillor,M,Alex,Columbos,N,N,N,"1,961"
City,Calgary,6,Councillor,F,Grace Mary,Nelson,N,N,N,"1,376"
City,Calgary,6,Councillor,M,Sanjeev Kumar,Kad,N,N,N,"1,076"
City,Calgary,6,Councillor,M,Steve,Turner,N,N,N,"1,026"
City,Calgary,7,Councillor,F,Druh,Farrell,N,Y,Y,"9,753"
City,Calgary,7,Councillor,M,Brent,Alexander,N,N,N,"8,916"
City,Calgary,7,Councillor,M,Robert Dean,Brawn,N,N,N,"2,882"
City,Calgary,7,Councillor,F,Margaret (Margot) Eleanor,Aftergood,N,N,N,"1,765"
City,Calgary,7,Councillor,M,Marek,Hejduk,N,N,N,456
City,Calgary,8,Councillor,M,Evan,Woolley,N,Y,Y,"15,839"
City,Calgary,8,Councillor,M,Chris,Davis,N,N,N,"8,845"
City,Calgary,8,Councillor,F,Karla,Charest,N,N,N,"1,840"
City,Calgary,8,Councillor,M,Carter,Thomson,N,N,N,657
City,Calgary,9,Councillor,M,Gian Carlo,Carra,N,Y,Y,"9,760"
City,Calgary,9,Councillor,F,Cheryl Marie,Link,N,N,N,"8,023"
City,Calgary,9,Councillor,M,Trevor Gordon,Buckler,N,N,N,"1,126"
City,Calgary,9,Councillor,M,David Christopher,Metcalfe,N,N,N,995
City,Calgary,9,Councillor,M,Cesar Augusto,Saavedra,N,N,N,588
City,Calgary,9,Councillor,M,Omar Djalala Joseph,M'Keyo,N,N,N,556
City,Calgary,9,Councillor,M,Boss,Madimba,N,N,N,449
City,Calgary,10,Councillor,M,Ray,Jones,N,Y,Y,"7,240"
City,Calgary,10,Councillor,M,David Reinholt,Winkler,N,N,N,"5,513"
City,Calgary,10,Councillor,F,Salimah,Kassam,N,N,N,"2,126"
City,Calgary,10,Councillor,F,Michelle Rae,Robinson,N,N,N,"1,258"
City,Calgary,10,Councillor,M,Najeeb,Butt,N,N,N,"1,054"
City,Calgary,10,Councillor,M,Gar,Gar,N,N,N,864
City,Calgary,10,Councillor,M,Issa,Mosa,N,N,N,693
City,Calgary,10,Councillor,F,Kamilla,Prasad,N,N,N,619
City,Calgary,10,Councillor,F,Faith,Greaves,N,N,N,568
City,Calgary,10,Councillor,M,Hermann Maurice,Muller,N,N,N,367
City,Calgary,10,Councillor,M,ElHussein,Elnuman,N,N,N,78
City,Calgary,11,Councillor,M,Jeromy Anton,Farkas,N,N,Y,"13,170"
City,Calgary,11,Councillor,F,Linda Marie,Johnson,N,N,N,"7,588"
City,Calgary,11,Councillor,F,Janet Claire Alana,Eremenko,N,N,N,"6,890"
City,Calgary,11,Councillor,M,Robert Gordon,Dickinson,N,N,N,"4,446"
City,Calgary,11,Councillor,M,Keith,Simmons,N,N,N,"2,214"
City,Calgary,12,Councillor,M,Shane A,Keating,N,Y,Y,"17,923"
City,Calgary,12,Councillor,F,Teresa,Hargreaves,N,N,N,"2,844"
City,Calgary,12,Councillor,M,Brad Gray,Cunningham,N,N,N,"2,732"
City,Calgary,12,Councillor,M,Mackenzie Tye,Quigley,N,N,N,"1,123"
City,Calgary,13,Councillor,F,Diane Marie,Colley-Urquhart,N,Y,Y,"9,118"
City,Calgary,13,Councillor,M,Mark,Dyrholm,N,N,N,"4,427"
City,Calgary,13,Councillor,M,Arthur John,Johnston,N,N,N,"4,102"
City,Calgary,13,Councillor,F,Sherrisa,Celis,N,N,N,"2,959"
City,Calgary,13,Councillor,M,Adam,Boechler,N,N,N,"2,909"
City,Calgary,13,Councillor,M,Adam W,Frisch,N,N,N,"2,732"
City,Calgary,13,Councillor,F,Kay,Adeniyi,N,N,N,745
City,Calgary,14,Councillor,M,Peter Anthony,Demong,N,Y,Y,"28,430"
City,Calgary,14,Councillor,M,Kelash,Kumar,N,N,N,"3,064"
City,Camrose,,Mayor,M,Norman,Mayer,N,Y,Y,"2,416"
City,Camrose,,Mayor,M,James William,Sears,N,N,N,"1,881"
City,Camrose,,Mayor,M,Wayne,Massick,N,N,N,209
