race_id,municipality,csd,first_name,last_name,party,votes_received,total_votes,incumbent,elected,acclaimed,gender,election_year,election_date,position,ward,magnitude,source,province,region,pop_2016
AbercornMairie0,Abercorn,NA,Jean-Charles,Bissonnette,,NA,0,NA,1,1,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
Acton ValeMairie5917,Acton Vale,NA,Luc,Champagne,,390,2262,NA,0,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
Acton ValeMairie5917,Acton Vale,NA,Juliette,Dupuis,,1872,2262,NA,1,0,F,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AdstockMairie2336,Adstock,NA,Laurier,Blanchette,,456,1278,NA,0,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AdstockMairie2336,Adstock,NA,Hélène,Faucher,,822,1278,NA,1,0,F,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AguanishMairie0,Aguanish,NA,Richard,Noël,,NA,0,NA,1,1,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AlbanelMairie1825,Albanel,NA,Jean-Marc,Mailloux,,469,1024,NA,0,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AlbanelMairie1825,Albanel,NA,Évangéline,Plourde,,555,1024,NA,1,0,F,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AlbertvilleMairie269,Albertville,NA,Martin,Landry,,134,211,NA,1,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AlbertvilleMairie269,Albertville,NA,Adrien,Pitre,,77,211,NA,0,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
Alleyn-et-CawoodMairie0,Alleyn-et-Cawood,NA,Joseph,Squitti,,NA,0,NA,1,1,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AlmaMairie23611,Alma,NA,Gérald,Scullion,,7603,13036,NA,1,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AlmaMairie23611,Alma,NA,Lucille,Gagnon,,5433,13036,NA,0,0,F,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AmherstMairie1504,Amherst,NA,Bernard,Lapointe,,494,890,NA,1,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AmherstMairie1504,Amherst,NA,Marcel,Dubois,,396,890,NA,0,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AmosMairie9611,Amos,NA,Ulrick,Chérubin,,3830,4543,NA,1,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AmosMairie9611,Amos,NA,Gilles,Blais,,229,4543,NA,0,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
AmosMairie9611,Amos,NA,Robert,Audette,,23,4543,NA,0,0,M,2005,"November 6, 2005",mairie,,1,Quebec Government,Quebec,Quebec,NA
