"","municipality","year","period","treatment","newspaper desert","status","province","id","CSD code","turnout","number of candidates","daily_free_paper_closure","weekly_paper_closure","acclaimed","place","margin_percent","closure","closure_count","first_closure","na","treat_group","t","timetotreat","census_year","Population","Density","delta","CD_UID","PR_UID"
"1","Abottsford",2005,2011,0,0,0,"British Columbia","5909052_2005",5909052,34.21,5,NA,NA,0,1,0.0506058446186743,FALSE,1,FALSE,0,1,1,-2,2006,123864,336.880912581084,0,"5909","59"
"2","Abottsford",2008,2011,0,0,0,"British Columbia","5909052_2008",5909052,34.2,5,NA,NA,0,1,0.288493866018098,FALSE,2,FALSE,0,1,1,-1,2006,123864,336.880912581084,0,"5909","59"
"3","Abottsford",2011,2011,1,0,-1,"British Columbia","5909052_2011",5909052,39.24,5,NA,NA,0,1,0.0343212323214125,TRUE,1,TRUE,0,1,2,0,2011,133497,346.342464846812,0,"5909","59"
"4","Abottsford",2014,2011,1,0,-2,"British Columbia","5909052_2014",5909052,37.19,2,NA,NA,0,1,0.0178864812920425,TRUE,2,FALSE,0,1,3,1,2016,141397,366.838097499904,0,"5909","59"
"5","Abottsford",2018,2011,1,0,-2,"British Columbia","5909052_2018",5909052,35.37,6,NA,NA,0,1,0.378910252546561,TRUE,3,FALSE,0,1,3,2,2016,141397,366.838097499904,0,"5909","59"
"6","Ajax",2003,0,0,0,0,"Ontario","3518005_2003",3518005,26.2,2,NA,NA,0,1,0.417977835545218,FALSE,1,FALSE,0,0,1,-5,2001,73753,1095.93458020462,0,"3518","35"
"7","Ajax",2006,0,0,0,0,"Ontario","3518005_2006",3518005,23.2,2,NA,NA,0,1,0.403995108030982,FALSE,2,FALSE,0,0,1,-4,2006,90167,1331.80311936186,0,"3518","35"
"8","Ajax",2010,0,0,0,0,"Ontario","3518005_2010",3518005,25.4,2,NA,NA,0,1,0.563132598247102,FALSE,3,FALSE,0,0,1,-3,2011,109600,1618.52848883341,0,"3518","35"
"9","Ajax",2014,0,0,0,0,"Ontario","3518005_2014",3518005,30.42,3,NA,NA,0,1,0.721176212420452,FALSE,4,FALSE,0,0,1,-2,2016,119677,1768.88903209577,0,"3518","35"
"10","Ajax",2018,0,0,0,0,"Ontario","3518005_2018",3518005,32.9,5,NA,NA,0,1,0.0977607864554888,FALSE,5,FALSE,0,0,1,-1,2016,119677,1768.88903209577,0,"3518","35"
"11","Amherstburg",2003,2014,0,0,0,"Ontario","3537028_2003",3537028,NA,2,NA,NA,0,1,NA,FALSE,1,FALSE,2,1,1,-3,2001,20339,109.353012528043,0,"3537","35"
"12","Amherstburg",2006,2014,0,0,0,"Ontario","3537028_2006",3537028,NA,2,NA,NA,0,1,NA,FALSE,2,FALSE,2,1,1,-2,2006,21748,112.695242382863,0,"3537","35"
