newspaper desert,status,province,municipality,CSD code.x,year,turnout,Last Name,Votes,Election Total Votes,number of candidates,Magniuted = # of votes separating first from second,Level,Hierarchical structure,CSD code.y,province_code
0,0,Alberta,Calgary,4806016,2004,19.8,Bronconnier,94228,119394,7,Margin = first place votes - Second place votes,4,Census subdivision,4806016,48
0,0,Alberta,Calgary,4806016,2004,19.8,Fech,6357,119394,7,"New desert = 0 no, -1 yes",4,Census subdivision,4806016,48
0,0,Alberta,Calgary,4806016,2007,32.9,Bronconnier,128112,209748,9,"Status = 0 no closures, -1 one less paper/a clsoures, -2 two less papers/a closure and so on",4,Census subdivision,4806016,48
0,0,Alberta,Calgary,4806016,2007,32.9,Kassam,35442,209748,9,NA,4,Census subdivision,4806016,48
0,0,Alberta,Calgary,4806016,2010,53.39,Nenshi,140263,354090,15,NA,4,Census subdivision,4806016,48
0,0,Alberta,Calgary,4806016,2010,53.39,McIver,112386,354090,15,NA,4,Census subdivision,4806016,48
0,0,Alberta,Calgary,4806016,2013,39.43,Nenshi,193393,262577,9,NA,4,Census subdivision,4806016,48
0,0,Alberta,Calgary,4806016,2013,39.43,Lord,56226,262577,9,NA,4,Census subdivision,4806016,48
0,-1,Alberta,Calgary,4806016,2017,58.1,Nenshi,199131,387583,10,NA,4,Census subdivision,4806016,48
0,-1,Alberta,Calgary,4806016,2017,58.1,Smith,169587,387583,10,"For each election after the data-set, get the mayora election results. Enter the winning mayoral candidate and the second place candidate (total votes) in columng G. For each election add the total votes cast enter into Column I",4,Census subdivision,4806016,48
0,0,Alberta,Edmonton,4811061,2004,41.8,Mandel,85887,211136,8,NA,4,Census subdivision,4811061,48
0,0,Alberta,Edmonton,4811061,2004,41.8,Smith,68767,211136,8,NA,4,Census subdivision,4811061,48
0,0,Alberta,Edmonton,4811061,2007,27.2,Mandel,98751,150085,9,NA,4,Census subdivision,4811061,48
0,0,Alberta,Edmonton,4811061,2007,27.2,Koziak,38027,150085,9,NA,4,Census subdivision,4811061,48
0,0,Alberta,Edmonton,4811061,2010,33.4,Mandel,109432,198136,7,NA,4,Census subdivision,4811061,48
0,0,Alberta,Edmonton,4811061,2010,33.4,Dorward,58856,198136,7,NA,4,Census subdivision,4811061,48
0,0,Alberta,Edmonton,4811061,2013,34.5,Iveson,132162,212397,6,NA,4,Census subdivision,4811061,48
0,0,Alberta,Edmonton,4811061,2013,34.5,Leibovici,41182,212397,6,NA,4,Census subdivision,4811061,48
0,0,Alberta,Edmonton,4811061,2017,31.5,Iveson,141182,194826,13,NA,4,Census subdivision,4811061,48
0,0,Alberta,Edmonton,4811061,2017,31.5,Koziak,13204,194826,13,NA,4,Census subdivision,4811061,48
0,0,Alberta,Strathcona County,4811052,2004,33.97,Olesen,10666,18950,3,NA,4,Census subdivision,4811052,48
0,0,Alberta,Strathcona County,4811052,2004,33.97,Bidzinski,7059,18950,3,NA,4,Census subdivision,4811052,48
0,0,Alberta,Strathcona County,4811052,2007,33.340000000000003,Olesen,8056,20676,3,NA,4,Census subdivision,4811052,48
0,0,Alberta,Strathcona County,4811052,2007,33.340000000000003,Lesniak,6344,20676,3,NA,4,Census subdivision,4811052,48
0,0,Alberta,Strathcona County,4811052,2010,36.6,Osinchuk,13299,23518,2,NA,4,Census subdivision,4811052,48
0,0,Alberta,Strathcona County,4811052,2010,36.6,Olesen,10115,23518,2,NA,4,Census subdivision,4811052,48
0,0,Alberta,Strathcona County,4811052,2013,37.369999999999997,Carr,12583,24838,2,NA,4,Census subdivision,4811052,48
0,0,Alberta,Strathcona County,4811052,2013,37.37,Osinchuk,12137,24838,2,NA,4,Census subdivision,4811052,48
0,0,Alberta,Strathcona County,4811052,2017,39.1,Frank,10310,27688,5,NA,4,Census subdivision,4811052,48
0,0,Alberta,Strathcona County,4811052,2017,39.1,Carr,8287,27688,5,NA,4,Census subdivision,4811052,48
0,0,Alberta,Red Deer,4808001,2004,27.27,Flewwelling,7264,15867,3,NA,4,Census subdivision,4808011,48
0,0,Alberta,Red Deer,4808001,2004,27.27,McBeth,5921,15867,3,NA,4,Census subdivision,4808011,48
0,0,Alberta,Red Deer,4808001,2007,22.04,Flewwelling,7019,13547,3,NA,4,Census subdivision,4808011,48
0,0,Alberta,Red Deer,4808001,2007,22.04,Dawson,5704,13547,3,NA,4,Census subdivision,4808011,48
0,0,Alberta,Red Deer,4808001,2010,24.79,Flewwelling,8100,14875,2,NA,4,Census subdivision,4808011,48
0,0,Alberta,Red Deer,4808001,2010,24.79,Penko,6219,14875,2,NA,4,Census subdivision,4808011,48
0,0,Alberta,Red Deer,4808001,2013,31.83,Veer,9400,20364,5,NA,4,Census subdivision,4808011,48
0,0,Alberta,Red Deer,4808001,2013,31.83,Jefferies,7971,20364,5,NA,4,Census subdivision,4808011,48
0,0,Alberta,Red Deer,4808001,2017,28.8,Veer,16619,19265,2,NA,4,Census subdivision,4808011,48
0,0,Alberta,Red Deer,4808001,2017,28.8,Burke,2176,19265,2,NA,4,Census subdivision,4808011,48
0,0,Alberta,Lethbridge,4802012,2007,22.6,Tarleck,0,14896,1,NA,4,Census subdivision,4802012,48
0,0,Alberta,Lethbridge,4802012,2010,35.1,Dodic,6170,24522,6,NA,4,Census subdivision,4802012,48
0,0,Alberta,Lethbridge,4802012,2010,35.1,Spearman,5962,24522,6,NA,4,Census subdivision,4802012,48
0,0,Alberta,Lethbridge,4802012,2013,29.8,Spearman,9855,21726,4,NA,4,Census subdivision,4802012,48
0,0,Alberta,Lethbridge,4802012,2013,29.8,Mearns,6410,21726,4,NA,4,Census subdivision,4802012,48
0,0,Alberta,Lethbridge,4802012,2017,27.09,Spearman,14897,21338,3,NA,4,Census subdivision,4802012,48
0,0,Alberta,Lethbridge,4802012,2017,27.09,Heavy Head,3342,21338,3,NA,4,Census subdivision,4802012,48
0,0,Alberta,Wood Buffalo,4816037,2007,17.239999999999998,Blake,5115,8105,4,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2007,17.239999999999998,Kirschner,2431,8105,4,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2010,20.67,Blake,7799,10750,4,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2010,20.67,Vyboh,2394,10750,4,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2013,19.93,Blake,6987,11961,3,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2013,19.93,Ouellette,3477,11961,3,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2017,22.4,Scott,8911,13212,4,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2017,22.4,Gradndison,3160,13212,4,NA,4,Census subdivision,4816037,48
0,0,Alberta,Saint Albert,NA,2007,38.130000000000003,NA,NA,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,saint Albert,NA,2007,38.130000000000003,NA,NA,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2010,34.159999999999997,Crouse,10760,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2010,34.159999999999997,Biermanski,4955,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2013,38.1,Crouse,9802,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2013,38.1,Biermanski,7836,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2017,NA,Heron,10714,NA,3,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2017,NA,MacKay,6840,NA,3,NA,NA,NA,NA,NA
0,0,Alberta,Medicine Hat,4801006,2007,47.5,Normand,10551,18800,4,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2007,47.5,Grimm,4471,18800,4,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2010,38.229999999999997,Normand,7366,16440,3,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2010,38.229999999999997,Friesen,6923,16440,3,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2013,40.200000000000003,Clugston,10192,20329,4,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2013,40.200000000000003,Turnbull,4955,20329,4,NA,4,Census subdivision,4801006,48
