MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2010-2014 COUNCIL? (YES / NO)
Adjala-Tosorontio Tp,SMALL BRETT,MARY,MAYOR,"1,807","3,280",ELECTED,YES
Adjala-Tosorontio Tp,LITTLE,DOUG,DEPUTY MAYOR,"1,627","3,223",ELECTED,YES
Adjala-Tosorontio Tp,PINTO,FLOYD,LOCAL COUNCILLOR,387,563,ELECTED,YES
Adjala-Tosorontio Tp,KEENAN,AMBROSE,LOCAL COUNCILLOR,415,642,ELECTED,YES
Adjala-Tosorontio Tp,MEADOWS,BOB,LOCAL COUNCILLOR,307,646,ELECTED,NO
Adjala-Tosorontio Tp,ROSE,DAVE,LOCAL COUNCILLOR,580,871,ELECTED,NO
Ajax T,PARISH,STEVE,MAYOR,"18,603","22,612",ELECTED,YES
Ajax T,COLLIER,SHAUN,LOCAL AND REGIONAL COUNCILLOR,"7,735","12,158",ELECTED,YES
Ajax T,JORDAN,COLLEEN,LOCAL AND REGIONAL COUNCILLOR,"7,359","10,207",ELECTED,YES
Ajax T,CRAWFORD,MARILYN,LOCAL COUNCILLOR,"3,449","5,481",ELECTED,YES
Ajax T,ASHBY,RENRICK,LOCAL COUNCILLOR,"2,139","6,827",ELECTED,YES
Ajax T,DIES,JOANNE,LOCAL COUNCILLOR,"2,997","4,678",ELECTED,YES
Ajax T,BROWN,PAT,LOCAL COUNCILLOR,"3,940","1,554",ELECTED,YES
Amaranth Tp,MACIVER,DON,MAYOR,434,820,ELECTED,YES
Amaranth Tp,AULTMAN,JANE,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES
Amaranth Tp,FOSTER,HEATHER,LOCAL COUNCILLOR,449,"2,057",ELECTED,YES
Amaranth Tp,GERRITS,CHRIS,LOCAL COUNCILLOR,457,"2,057",ELECTED,NO
Amaranth Tp,LITTLE,GAIL,LOCAL COUNCILLOR,423,"2,057",ELECTED,NO
Aurora T,DAWE,GEOFF,MAYOR,"8,903","13,009",ELECTED,YES
Aurora T,ABEL,JOHN,LOCAL COUNCILLOR,"6,098","73,969",ELECTED,YES
Aurora T,HUMFRYES,SANDRA,LOCAL COUNCILLOR,"5,052","73,969",ELECTED,YES
Aurora T,THOMPSON,MICHAEL,LOCAL COUNCILLOR,"4,974","73,969",ELECTED,YES
Aurora T,THOM,JEFF,LOCAL COUNCILLOR,"4,921","73,969",ELECTED,NO
Aurora T,GAERTNER,WENDY,LOCAL COUNCILLOR,"4,605","73,969",ELECTED,YES
Aurora T,KIM,HAROLD,LOCAL COUNCILLOR,"4,098","73,969",ELECTED,NO
Aurora T,MRAKAS,TOM,LOCAL COUNCILLOR,"3,826","73,969",ELECTED,NO
Aurora T,PIRRI,PAUL,LOCAL COUNCILLOR,"3,760","73,969",ELECTED,YES
Barrie C,LEHMAN,JEFF,MAYOR,"26,385","28,601",ELECTED,YES
Barrie C,AINSWORTH,BONNIE,LOCAL COUNCILLOR,"2,028","3,226",ELECTED,YES
Barrie C,ROMITA,ROSE,LOCAL COUNCILLOR,"1,256","3,974",ELECTED,NO
Barrie C,SHIPLEY,DOUG,LOCAL COUNCILLOR,"2,060","2,547",ELECTED,YES
Barrie C,WARD,BARRY,LOCAL COUNCILLOR,"1,420","3,188",ELECTED,YES
Barrie C,SILVEIRA,PETER,LOCAL COUNCILLOR,"1,188","2,717",ELECTED,YES
Barrie C,PROWSE,MICHAEL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Barrie C,BRASSARD,JOHN,LOCAL COUNCILLOR,"1,779","2,364",ELECTED,YES
Barrie C,KHAN,ARIF,LOCAL COUNCILLOR,"2,021","3,427",ELECTED,YES
Barrie C,MORALES,SERGIO,LOCAL COUNCILLOR,967,"1,873",ELECTED,NO
