mun_c,mun_n,reg_c,reg_n,arr_c,arr_n,poste_c,type_poste_c,type_poste_d,nom,prenom,sexe,sortant,parti_n,nb_electeurs_maire,nb_votes_candidat,nb_votes_rejetes,statut_candidat_d
46005,Abercorn,16,Montérégie,,,0,M,Maire,Bissonnnette,Jean-Charles,m,SORTA,,315,72,0,Non élu
46005,Abercorn,16,Montérégie,,,0,M,Maire,Nadeau,Robert,m,NONSO,,315,107,0,Élu
46005,Abercorn,16,Montérégie,,,0,M,Maire,Rouet,Jean-Jacques,m,NONSO,,315,66,0,Non élu
46005,Abercorn,16,Montérégie,,,1,C,Conseiller,Lapointe,Monique,f,NONSO,,315,0,0,Élu sans opposition
46005,Abercorn,16,Montérégie,,,2,C,Conseiller,McCollough,Patricia,f,NONSO,,315,190,7,Élu
46005,Abercorn,16,Montérégie,,,2,C,Conseiller,Trudeau,Réal,m,SORTA,,315,48,7,Non élu
46005,Abercorn,16,Montérégie,,,3,C,Conseiller,Carey,Bernard,m,SORTA,,315,0,0,Élu sans opposition
46005,Abercorn,16,Montérégie,,,4,C,Conseiller,Gravel,Guy,m,NONSO,,315,0,0,Élu sans opposition
46005,Abercorn,16,Montérégie,,,4,C,Conseiller,Trudeau,Réal,m,SORTA,,315,0,0,Désistement
46005,Abercorn,16,Montérégie,,,5,C,Conseiller,Beauchamp,Isabelle,f,SORTA,,315,0,0,Élu sans opposition
46005,Abercorn,16,Montérégie,,,6,C,Conseiller,Ewens,Derek,m,NONSO,,315,123,8,Élu
46005,Abercorn,16,Montérégie,,,6,C,Conseiller,Labrecque,Roger,m,SORTA,,315,114,8,Non élu
48028,Acton Vale,16,Montérégie,,,0,M,Maire,Charbonneau,Éric,m,SORTA,,3997,0,0,Élu sans opposition
48028,Acton Vale,16,Montérégie,,,1,C,Conseiller,Arcouette,Yves,m,SORTA,,3997,0,0,Élu sans opposition
48028,Acton Vale,16,Montérégie,,,2,C,Conseiller,Ledoux,Suzanne,f,SORTA,,3997,0,0,Élu sans opposition
48028,Acton Vale,16,Montérégie,,,3,C,Conseiller,Bisaillon,Raymond,m,NONSO,,3997,324,7,Élu
48028,Acton Vale,16,Montérégie,,,3,C,Conseiller,Rivard,Martin,m,NONSO,,3997,75,7,Non élu
48028,Acton Vale,16,Montérégie,,,4,C,Conseiller,Lajoie,Pierrette,f,NONSO,,3997,167,10,Non élu
48028,Acton Vale,16,Montérégie,,,4,C,Conseiller,Robert,Yvon,m,SORTA,,3997,227,10,Élu
48028,Acton Vale,16,Montérégie,,,5,C,Conseiller,Caron,Éric,m,NONSO,,3997,102,2,Non élu
48028,Acton Vale,16,Montérégie,,,5,C,Conseiller,Lavallée,Bruno,m,SORTA,,3997,243,2,Élu
48028,Acton Vale,16,Montérégie,,,6,C,Conseiller,Champagne,Luc,m,NONSO,,3997,57,5,Non élu
48028,Acton Vale,16,Montérégie,,,6,C,Conseiller,Dumont,Patrice,m,SORTA,,3997,193,5,Élu
48028,Acton Vale,16,Montérégie,,,6,C,Conseiller,Duranleau,Magalie,f,NONSO,,3997,43,5,Non élu
31056,Adstock,12,Chaudière-Appalaches,,,0,M,Maire,Binet,Pascal,m,NONSO,,2572,1201,22,Élu
31056,Adstock,12,Chaudière-Appalaches,,,0,M,Maire,Gosselin,René,m,SORTA,,2572,560,22,Non élu
31056,Adstock,12,Chaudière-Appalaches,,,1,C,Conseiller,Quirion,Pierre,m,NONSO,,2572,132,5,Non élu
31056,Adstock,12,Chaudière-Appalaches,,,1,C,Conseiller,Vallée,Ghislain,m,SORTA,,2572,168,5,Élu
31056,Adstock,12,Chaudière-Appalaches,,,2,C,Conseiller,Boissonneault-Gaulin,Stéphanie,f,NONSO,,2572,185,3,Élu
31056,Adstock,12,Chaudière-Appalaches,,,2,C,Conseiller,Dubreuil,Gervais,m,NONSO,,2572,126,3,Non élu
31056,Adstock,12,Chaudière-Appalaches,,,2,C,Conseiller,Turgeon,Jean-Guy,m,NONSO,,2572,3,3,Non élu
31056,Adstock,12,Chaudière-Appalaches,,,3,C,Conseiller,Rhéaume,Michel,m,SORTA,,2572,141,5,Non élu
31056,Adstock,12,Chaudière-Appalaches,,,3,C,Conseiller,Turgeon,Nelson,m,NONSO,,2572,154,5,Élu
31056,Adstock,12,Chaudière-Appalaches,,,4,C,Conseiller,Poulin,Martine,f,SORTA,,2572,0,0,Élu sans opposition
31056,Adstock,12,Chaudière-Appalaches,,,5,C,Conseiller,Gagnon,Denis Marc,m,SORTA,,2572,0,0,Élu sans opposition
31056,Adstock,12,Chaudière-Appalaches,,,6,C,Conseiller,Duchesneau,Roger,m,NONSO,,2572,84,9,Non élu
31056,Adstock,12,Chaudière-Appalaches,,,6,C,Conseiller,Jacques,Ghislain,m,SORTA,,2572,217,9,Élu
98030,Aguanish,9,Côte-Nord,,,0,M,Maire,Deraps,Yvan,m,NONSO,,258,53,3,Non élu
98030,Aguanish,9,Côte-Nord,,,0,M,Maire,Leblanc,André,m,NONSO,,258,117,3,Élu
98030,Aguanish,9,Côte-Nord,,,0,M,Maire,Noël,Richard,m,SORTA,,258,44,3,Non élu
98030,Aguanish,9,Côte-Nord,,,1,C,Conseiller,Blais,Francine,f,SORTA,,258,0,0,Élu sans opposition
98030,Aguanish,9,Côte-Nord,,,2,C,Conseiller,Rochette,Andy,m,SORTA,,258,0,0,Élu sans opposition
98030,Aguanish,9,Côte-Nord,,,3,C,Conseiller,Harvey,Audette,f,SORTA,,258,0,0,Élu sans opposition
98030,Aguanish,9,Côte-Nord,,,4,C,Conseiller,Blais,Carmen,f,NONSO,,258,84,1,Non élu
98030,Aguanish,9,Côte-Nord,,,4,C,Conseiller,Duguay,Angie,f,NONSO,,258,132,1,Élu
98030,Aguanish,9,Côte-Nord,,,5,C,Conseiller,Gallant,Paul,m,SORTA,,258,0,0,Élu sans opposition
98030,Aguanish,9,Côte-Nord,,,6,C,Conseiller,Blais,Delvie,f,NONSO,,258,0,0,Élu sans opposition
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,0,M,Maire,Chiasson,Francine,f,NONSO,,0,0,0,Élu sans opposition
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,1,C,Conseiller,Proulx,Liane,f,SORTA,,0,32,0,Élu
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,1,C,Conseiller,Savard,Gilles,m,NONSO,,0,5,0,Non élu
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,1,C,Conseiller,Simard,Vicky,f,NONSO,,0,23,0,Non élu
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,2,C,Conseiller,Germain,Danielle,f,NONSO,,0,25,2,Non élu
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,2,C,Conseiller,Pouliot,Édith,f,NONSO,,0,37,2,Élu
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,3,C,Conseiller,Thibeault,Isabelle,f,NONSO,,0,0,0,Élu sans opposition
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,4,C,Conseiller,Bonneau,Stéphane,m,SORTA,,0,0,0,Élu sans opposition
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,5,C,Conseiller,Plourde,Dave,m,NONSO,,0,0,0,Élu sans opposition
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,6,C,Conseiller,Dumais,Dominic,m,NONSO,,0,13,1,Non élu
92030,Albanel,2,Saguenay--Lac-Saint-Jean,,,6,C,Conseiller,Pelchat,Nicole,f,NONSO,,0,147,1,Élu
7025,Albertville,1,Bas-Saint-Laurent,,,0,M,Maire,Landry,Martin,m,SORTA,,0,0,0,Élu sans opposition
7025,Albertville,1,Bas-Saint-Laurent,,,1,C,Conseiller,Berger,Édes,f,SORTA,,0,0,0,Élu sans opposition
7025,Albertville,1,Bas-Saint-Laurent,,,2,C,Conseiller,Chrétien,Géraldine,f,SORTA,,0,0,0,Élu sans opposition
7025,Albertville,1,Bas-Saint-Laurent,,,3,C,Conseiller,Chabot,Charline,f,SORTA,,0,0,0,Élu sans opposition
7025,Albertville,1,Bas-Saint-Laurent,,,4,C,Conseiller,Demeules,Gilles,m,SORTA,,0,0,0,Élu sans opposition
7025,Albertville,1,Bas-Saint-Laurent,,,5,C,Conseiller,Durette,Roger,m,SORTA,,0,0,0,Élu sans opposition
7025,Albertville,1,Bas-Saint-Laurent,,,6,C,Conseiller,Potvin,Gilberte,f,SORTA,,0,0,0,Élu sans opposition
84050,Alleyn-et-Cawood,7,Outaouais,,,0,M,Maire,Mayer,Carl,m,NONSO,,326,110,0,Élu
84050,Alleyn-et-Cawood,7,Outaouais,,,0,M,Maire,Scharf-Lafleur,Charlene,f,SORTA,,326,52,0,Non élu
84050,Alleyn-et-Cawood,7,Outaouais,,,1,C,Conseiller,Tanner,Susan,f,SORTA,,326,0,0,Élu sans opposition
84050,Alleyn-et-Cawood,7,Outaouais,,,2,C,Conseiller,Lafleur,Ricky,m,SORTA,,326,0,0,Élu sans opposition
84050,Alleyn-et-Cawood,7,Outaouais,,,3,C,Conseiller,Early,David,m,NONSO,,326,71,0,Non élu
84050,Alleyn-et-Cawood,7,Outaouais,,,3,C,Conseiller,Squitti,Sidney,f,NONSO,,326,91,0,Élu
84050,Alleyn-et-Cawood,7,Outaouais,,,4,C,Conseiller,Lafleur,Ronnie,m,NONSO,,326,116,4,Élu
84050,Alleyn-et-Cawood,7,Outaouais,,,4,C,Conseiller,Molyneaux,Lorraine,f,NONSO,,326,42,4,Non élu
84050,Alleyn-et-Cawood,7,Outaouais,,,5,C,Conseiller,Giroux,Reggie (Rejean),m,NONSO,,326,69,2,Non élu
84050,Alleyn-et-Cawood,7,Outaouais,,,5,C,Conseiller,Salt,Christopher,m,NONSO,,326,91,2,Élu
84050,Alleyn-et-Cawood,7,Outaouais,,,6,C,Conseiller,Giroux,Rejean Reggie,m,NONSO,,326,0,0,Désistement
