mun_c,mun_n,reg_c,reg_n,arr_c,dist_n,arr_n,poste_c,type_poste_c,type_poste_d,nom,prenom,sexe,sortant,parti_n,nb_electeurs_maire,nb_votes_candidat,nb_votes_rejetes,statut_candidat_d
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Gladyszewski,Dominique,F,Nouveau,,10354,1444,150,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Lapierre,Jonathan,M,Sortant,,10354,4117,150,Élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,,1,C,Conseiller,Chevrier,Léonard,M,Nouveau,,10354,79,19,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,,1,C,Conseiller,Gray,James,M,Nouveau,,10354,77,19,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,,1,C,Conseiller,Leblanc,Germain,M,Sortant,,10354,325,19,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,,1,C,Conseiller,Leblanc,Suzie,F,Nouveau,,10354,436,19,Élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Étang-du-Nord,,2,C,Conseiller,Déraspe,Léon,M,Sortant,,10354,592,27,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Étang-du-Nord,,2,C,Conseiller,Déraspe,Jean-Philippe,M,Nouveau,,10354,892,27,Élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Cap-aux-Meules,,3,C,Conseiller,Leblanc,Richard,M,Sortant,,10354,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Fatima,,4,C,Conseiller,Chevarie,Roger,M,Sortant,,10354,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Havre-aux-Maisons,,5,C,Conseiller,Chevrier,Hélène,F,Nouveau,,10354,443,9,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Havre-aux-Maisons,,5,C,Conseiller,Langford,Kaven,M,Nouveau,,10354,42,9,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Havre-aux-Maisons,,5,C,Conseiller,Arseneau,Benoît,M,Nouveau,,10354,546,9,Élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Grande-Entrée,,6,C,Conseiller,Richard,Gaétan,M,Sortant,,10354,0,,Élu sans opposition
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,CLARKE,ROSE ELMONDE,F,Sortant,,397,0,,Élu sans opposition
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,1,C,Conseiller,BURKE,WILLIAM,M,Nouveau,,397,118,3,Non élu
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,1,C,Conseiller,CLARKE,MILES,M,Sortant (autre poste),,397,170,3,Élu
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,2,C,Conseiller,CLARKE,FELICIA,F,Sortant,,397,0,,Élu sans opposition
