mun_c,mun_n,mun_type,mrc_c,mrc_n,reg_c,reg_n,arr_n,dist_n,type_poste_d,nom,prenom,sexe,sortant,parti_n,nb_electeurs,nb_votes_candidat,nb_votes_rejetes,statut_candidat_d
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Lapierre,Jonathan,M,Sortant (même poste),,10702,3772,95,Élu
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Deveau,Lise,F,Nouveau candidat,,10702,524,95,Non élu
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,Conseiller,Vigneau,Sara,F,Nouveau candidat,,1602,488,14,Élu
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,Conseiller,Leblanc,Germain,M,Nouveau candidat,,1602,336,14,Non élu
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,L'Étang-du-Nord,Conseiller,Lafrance,Hugues,M,Nouveau candidat,,2855,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,L'Étang-du-Nord,Conseiller,Poirier,Yann-Philippe,M,Nouveau candidat,,2855,0,,Désistement
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,Cap-aux-Meules,Conseiller,Leblanc,Richard,M,Sortant (même poste),,1534,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,Fatima,Conseiller,Chevarie,Roger,M,Sortant (même poste),,2472,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,Havre-aux-Maisons,Conseiller,Arseneau,Benoit,M,Sortant (même poste),,1790,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,Grande-Entrée,Conseiller,Richard,Gaétan,M,Sortant (même poste),,449,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Davies,Diana-Joy,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Boudreau,Marlene,F,Sortant (autre poste),,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Burke,Kathy,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Clark,Johanne,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Keating,Katrina,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Matthews,Miranda,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Clark,Nancy,F,Sortant (autre poste),,0,0,,Élu sans opposition
